iso_code;year;fuel;production
CAN;2011;biofuel;9.36
CAN;2012;biofuel;10.11
CAN;2013;biofuel;10.19
CAN;2014;biofuel;9.06
CAN;2015;biofuel;9.3
CAN;2016;biofuel;10.7
CAN;2017;biofuel;6.31
CAN;2018;biofuel;9.81
CAN;2019;biofuel;9.72
CAN;2020;biofuel;10.13
CAN;2021;biofuel;9.66
CPV;2000;biofuel;0.0
CPV;2001;biofuel;0.0
CPV;2002;biofuel;0.0
CPV;2003;biofuel;0.0
CPV;2004;biofuel;0.0
CPV;2005;biofuel;0.0
CPV;2006;biofuel;0.0
CPV;2007;biofuel;0.0
CPV;2008;biofuel;0.0
CPV;2009;biofuel;0.0
CPV;2010;biofuel;0.0
CPV;2011;biofuel;0.0
CPV;2012;biofuel;0.0
CPV;2013;biofuel;0.0
CPV;2014;biofuel;0.0
CPV;2015;biofuel;0.0
CPV;2016;biofuel;0.0
CPV;2017;biofuel;0.0
CPV;2018;biofuel;0.0
CPV;2019;biofuel;0.0
CPV;2020;biofuel;0.0
CAF;2000;biofuel;0.0
CAF;2001;biofuel;0.0
CAF;2002;biofuel;0.0
CAF;2003;biofuel;0.0
CAF;2004;biofuel;0.0
CAF;2005;biofuel;0.0
CAF;2006;biofuel;0.0
CAF;2007;biofuel;0.0
CAF;2008;biofuel;0.0
CAF;2009;biofuel;0.0
CAF;2010;biofuel;0.0
CAF;2011;biofuel;0.0
CAF;2012;biofuel;0.0
CAF;2013;biofuel;0.0
CAF;2014;biofuel;0.0
CAF;2015;biofuel;0.0
CAF;2016;biofuel;0.0
CAF;2017;biofuel;0.0
CAF;2018;biofuel;0.0
CAF;2019;biofuel;0.0
CAF;2020;biofuel;0.0
TCD;2000;biofuel;0.01
TCD;2001;biofuel;0.01
TCD;2002;biofuel;0.01
TCD;2003;biofuel;0.01
TCD;2004;biofuel;0.01
TCD;2005;biofuel;0.01
TCD;2006;biofuel;0.01
TCD;2007;biofuel;0.0
TCD;2008;biofuel;0.0
TCD;2009;biofuel;0.01
TCD;2010;biofuel;0.01
TCD;2011;biofuel;0.01
TCD;2012;biofuel;0.0
TCD;2013;biofuel;0.0
TCD;2014;biofuel;0.0
TCD;2015;biofuel;0.0
TCD;2016;biofuel;0.0
TCD;2017;biofuel;0.0
TCD;2018;biofuel;0.0
TCD;2019;biofuel;0.0
TCD;2020;biofuel;0.0
TCD;2021;biofuel;
CHL;2000;biofuel;0.09
CHL;2001;biofuel;0.08
CHL;2002;biofuel;0.08
CHL;2003;biofuel;0.09
CHL;2004;biofuel;0.1
CHL;2005;biofuel;0.14
CHL;2006;biofuel;0.14
CHL;2007;biofuel;0.21
CHL;2008;biofuel;0.38
CHL;2009;biofuel;1.72
CHL;2010;biofuel;1.89
CHL;2011;biofuel;2.19
CHL;2012;biofuel;3.29
CHL;2013;biofuel;4.95
CHL;2014;biofuel;3.19
CHL;2015;biofuel;1.63
CHL;2016;biofuel;1.65
CHL;2017;biofuel;1.66
CHL;2018;biofuel;1.64
CHL;2019;biofuel;1.73
CHL;2020;biofuel;1.47
CHL;2021;biofuel;1.6
CHN;2000;biofuel;2.54
CHN;2001;biofuel;2.55
CHN;2002;biofuel;2.55
CHN;2003;biofuel;2.54
CHN;2004;biofuel;2.53
CHN;2005;biofuel;5.32
CHN;2006;biofuel;7.13
CHN;2007;biofuel;9.86
CHN;2008;biofuel;14.87
CHN;2009;biofuel;20.86
CHN;2010;biofuel;24.9
CHN;2011;biofuel;27.63
CHN;2012;biofuel;30.13
CHN;2013;biofuel;37.13
CHN;2014;biofuel;46.27
CHN;2015;biofuel;54.07
CHN;2016;biofuel;62.13
CHN;2017;biofuel;79.6
CHN;2018;biofuel;93.72
CHN;2019;biofuel;112.72
CHN;2020;biofuel;135.52
CHN;2021;biofuel;165.36
COL;2000;biofuel;0.18
COL;2001;biofuel;0.18
COL;2002;biofuel;0.17
COL;2003;biofuel;0.16
COL;2004;biofuel;0.15
COL;2005;biofuel;0.16
COL;2006;biofuel;0.2
COL;2007;biofuel;0.19
COL;2008;biofuel;0.17
COL;2009;biofuel;0.34
COL;2010;biofuel;0.55
COL;2011;biofuel;0.37
COL;2012;biofuel;0.39
COL;2013;biofuel;0.65
COL;2014;biofuel;0.74
COL;2015;biofuel;0.98
COL;2016;biofuel;1.02
COL;2017;biofuel;0.74
COL;2018;biofuel;0.8
COL;2019;biofuel;0.95
COL;2020;biofuel;1.09
COL;2021;biofuel;
COM;2000;biofuel;0.0
COM;2001;biofuel;0.0
COM;2002;biofuel;0.0
COM;2003;biofuel;0.0
COM;2004;biofuel;0.0
COM;2005;biofuel;0.0
COM;2006;biofuel;0.0
COM;2007;biofuel;0.0
COM;2008;biofuel;0.0
COM;2009;biofuel;0.0
COM;2010;biofuel;0.0
COM;2011;biofuel;0.0
COM;2012;biofuel;0.0
COM;2013;biofuel;0.0
COM;2014;biofuel;0.0
COM;2015;biofuel;0.0
COM;2016;biofuel;0.0
